Name,Release_year,Rating,Total_Rating,Duration
Ben-Hur,1959,8.1,254K,3 h 32 m
Before Sunrise,1995,8.1,341K,1 h 41 m
Barry Lyndon,1975,8.1,184K,3 h 5 m
The Grand Budapest Hotel,2014,8.1,889K,1 h 39 m
Gone Girl,2014,8.1,1.1M,2 h 29 m
Hacksaw Ridge,2016,8.1,597K,2 h 19 m
The Gold Rush,1925,8.1,119K,1 h 35 m
Salinui chueok,2003,8.1,218K,2 h 11 m
In the Name of the Father,1993,8.1,188K,2 h 13 m
Dead Poets Society,1989,8.1,548K,2 h 8 m
Mad Max: Fury Road,2015,8.1,1.1M,2 h m
Relatos salvajes,2014,8.1,217K,2 h 2 m
The Deer Hunter,1978,8.1,363K,3 h 3 m
The General,1926,8.1,98K,1 h 18 m
"Monsters, Inc.",2001,8.1,981K,1 h 32 m
On the Waterfront,1954,8.1,165K,1 h 48 m
Sherlock Jr.,1924,8.2,57K,1 h m
Jaws,1975,8.1,661K,2 h 4 m
How to Train Your Dragon,2010,8.1,803K,1 h 38 m
The Third Man,1949,8.1,182K,1 h 44 m
Le salaire de la peur,1953,8.2,67K,2 h 11 m
Mary and Max.,2009,8.1,187K,1 h 32 m
Smultronstället,1957,8.1,115K,1 h 31 m
Mr,1939,8.1,122K,2 h 9 m
Ratatouille,2007,8.1,828K,1 h 51 m
Ford v Ferrari,2019,8.1,478K,2 h 32 m
Tôkyô monogatari,1953,8.1,69K,2 h 16 m
The Big Lebowski,1998,8.1,862K,1 h 57 m
Room,2015,8.1,452K,1 h 58 m
Det sjunde inseglet,1957,8.1,199K,1 h 36 m
Rocky,1976,8.1,630K,2 h m
Logan,2017,8.1,834K,2 h 17 m
Spotlight,2015,8.1,503K,2 h 9 m
Hotel Rwanda,2004,8.1,373K,2 h 1 m
The Terminator,1984,8.1,927K,1 h 47 m
Platoon,1986,8.1,441K,2 h m
La passion de Jeanne d'Arc,1928,8.1,61K,1 h 50 m
La haine,1995,8.1,197K,1 h 38 m
Before Sunset,2004,8.1,289K,1 h 20 m
The Best Years of Our Lives,1946,8.1,71K,2 h 50 m
Pirates of the Caribbean: The Curse of the Black Pearl,2003,8.1,1.2M,2 h 23 m
The Exorcist,1973,8.1,456K,2 h 2 m
Rush,2013,8.1,515K,2 h 3 m
Jai Bhim,2021,8.7,218K,2 h 44 m
Network,1976,8.1,171K,2 h 1 m
Stand by Me,1986,8.1,443K,1 h 29 m
The Wizard of Oz,1939,8.1,430K,1 h 42 m
The Incredibles,2004,8.0,811K,1 h 55 m
Hachi: A Dog's Tale,2009,8.1,312K,1 h 33 m
Ah-ga-ssi,2016,8.1,174K,2 h 25 m
Into the Wild,2007,8.1,659K,2 h 28 m
Babam ve Oglum,2005,8.2,93K,1 h 52 m
The Sound of Music,1965,8.1,262K,2 h 52 m
To Be or Not to Be,1942,8.1,43K,1 h 39 m
La battaglia di Algeri,1966,8.1,66K,2 h 1 m
The Grapes of Wrath,1940,8.1,100K,2 h 9 m
Groundhog Day,1993,8.0,687K,1 h 41 m
Amores perros,2000,8.1,253K,2 h 34 m
The Iron Giant,1999,8.1,228K,1 h 26 m
Rebecca,1940,8.1,147K,2 h 10 m
Cool Hand Luke,1967,8.1,189K,2 h 7 m
The Help,2011,8.1,494K,2 h 26 m
It Happened One Night,1934,8.1,113K,1 h 45 m
Dances with Wolves,1990,8.0,292K,3 h 1 m
Aladdin,1992,8.0,468K,1 h 30 m
Drishyam,2015,8.2,95K,2 h 43 m
Kill Bill: Vol,2004,8.0,808K,2 h 17 m
